date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
31/03/26,8,away,3300,3505,2:0,1,FS,played,0,0,0,31/03/26 | FS | club:3300 | opponent:3505 | 2:0 | played | 5',False,False,True,5.0,False,ricardo_velho__por,Ricardo Velho,POR,GK,527026,https://www.transfermarkt.de/ricardo-velho/nationalmannschaft/spieler/527026/verein_id/3300
29/03/26,7,away,3300,6303,0:0,,FS,in squad,0,0,0,29/03/26 | FS | club:3300 | opponent:6303 | 0:0 | in squad,False,False,False,,False,ricardo_velho__por,Ricardo Velho,POR,GK,527026,https://www.transfermarkt.de/ricardo-velho/nationalmannschaft/spieler/527026/verein_id/3300
15/10/24,4,away,3300,3380,0:0,,UNLA,in squad,0,0,0,15/10/24 | UNLA | club:3300 | opponent:3380 | 0:0 | in squad,False,False,False,,False,ricardo_velho__por,Ricardo Velho,POR,GK,527026,https://www.transfermarkt.de/ricardo-velho/nationalmannschaft/spieler/527026/verein_id/3300
12/10/24,3,away,3300,3442,3:1,,UNLA,in squad,0,0,0,12/10/24 | UNLA | club:3300 | opponent:3442 | 3:1 | in squad,False,False,False,,False,ricardo_velho__por,Ricardo Velho,POR,GK,527026,https://www.transfermarkt.de/ricardo-velho/nationalmannschaft/spieler/527026/verein_id/3300
