date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
29/05/26,17,away,3582,6186,3:1,,FS,in squad,0,0,0,29/05/26 | FS | club:3582 | opponent:6186 | 3:1 | in squad,False,False,False,,False,mohammad_khalife__irn,Mohammad Khalife,IRN,GK,1030744,https://www.transfermarkt.de/mohammad-khalifeh/nationalmannschaft/spieler/1030744/verein_id/3582
31/03/26,8,away,3582,8497,5:0,,FS,not in squad,0,0,0,31/03/26 | FS | club:3582 | opponent:8497 | 5:0 | not in squad,True,False,False,,False,mohammad_khalife__irn,Mohammad Khalife,IRN,GK,1030744,https://www.transfermarkt.de/mohammad-khalifeh/nationalmannschaft/spieler/1030744/verein_id/3582
27/03/26,51,away,3582,3444,1:2,,FS,not in squad,0,0,0,27/03/26 | FS | club:3582 | opponent:3444 | 1:2 | not in squad,True,False,False,,False,mohammad_khalife__irn,Mohammad Khalife,IRN,GK,1030744,https://www.transfermarkt.de/mohammad-khalifeh/nationalmannschaft/spieler/1030744/verein_id/3582
18/11/25,4,away,3582,3563,3:4,,FS,not in squad,0,0,0,18/11/25 | FS | club:3582 | opponent:3563 | 3:4 | not in squad,True,False,False,,False,mohammad_khalife__irn,Mohammad Khalife,IRN,GK,1030744,https://www.transfermarkt.de/mohammad-khalifeh/nationalmannschaft/spieler/1030744/verein_id/3582
13/11/25,3,away,3582,4311,5:4,,FS,not in squad,0,0,0,13/11/25 | FS | club:3582 | opponent:4311 | 5:4 | not in squad,True,False,False,,False,mohammad_khalife__irn,Mohammad Khalife,IRN,GK,1030744,https://www.transfermarkt.de/mohammad-khalifeh/nationalmannschaft/spieler/1030744/verein_id/3582
14/10/25,2,away,3582,14666,2:0,,FS,not in squad,0,0,0,14/10/25 | FS | club:3582 | opponent:14666 | 2:0 | not in squad,True,False,False,,False,mohammad_khalife__irn,Mohammad Khalife,IRN,GK,1030744,https://www.transfermarkt.de/mohammad-khalifeh/nationalmannschaft/spieler/1030744/verein_id/3582
10/10/25,6,away,3582,3448,1:2,,FS,in squad,0,0,0,10/10/25 | FS | club:3582 | opponent:3448 | 1:2 | in squad,False,False,False,,False,mohammad_khalife__irn,Mohammad Khalife,IRN,GK,1030744,https://www.transfermarkt.de/mohammad-khalifeh/nationalmannschaft/spieler/1030744/verein_id/3582
