date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
29/05/26,5,home,3806,15351,0:0,3,FS,played,0,0,0,29/05/26 | FS | club:3806 | opponent:15351 | 0:0 | played | 67',False,False,True,67,True,ime_okon__rsa,Ime Okon,RSA,DEF,1107265,https://www.transfermarkt.de/ime-okon/nationalmannschaft/spieler/1107265/verein_id/3806
31/03/26,2,home,3806,3577,1:2,3,FS,played,0,0,0,31/03/26 | FS | club:3806 | opponent:3577 | 1:2 | played | 90',False,False,True,90,True,ime_okon__rsa,Ime Okon,RSA,DEF,1107265,https://www.transfermarkt.de/ime-okon/nationalmannschaft/spieler/1107265/verein_id/3806
27/03/26,2,home,3806,3577,1:1,3,FS,played,0,0,0,27/03/26 | FS | club:3806 | opponent:3577 | 1:1 | played | 90',False,False,True,90,True,ime_okon__rsa,Ime Okon,RSA,DEF,1107265,https://www.transfermarkt.de/ime-okon/nationalmannschaft/spieler/1107265/verein_id/3806
