date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
30/03/26,8,home,3563,3504,5:4,,FS,in squad,0,0,0,30/03/26 | FS | club:3563 | opponent:3504 | 5:4 | in squad,False,False,False,,False,mukhammadrasul_abdumazhidov__uzb,Mukhammadrasul Abdumazhidov,UZB,DEF,1133645,https://www.transfermarkt.de/mukhammadrasul-abdumazhidov/nationalmannschaft/spieler/1133645/verein_id/3563
27/03/26,51,home,3563,5704,3:1,,FS,in squad,0,0,0,27/03/26 | FS | club:3563 | opponent:5704 | 3:1 | in squad,False,False,False,,False,mukhammadrasul_abdumazhidov__uzb,Mukhammadrasul Abdumazhidov,UZB,DEF,1133645,https://www.transfermarkt.de/mukhammadrasul-abdumazhidov/nationalmannschaft/spieler/1133645/verein_id/3563
