player_id,player_name,team_id,position_model,tm_competition_rows,tm_competition_starts,tm_weighted_start_signal_sum,tm_recency_competition_weighted_start_signal_sum,tm_competition_weight_sum,tm_weighted_competitive_start_score,tm_recency_weighted_competitive_start_score
alex_kral__cze,Alex Kral,CZE,MID,76,30,0.1778,0.1778,0.45,0.3951,0.3951
alex_paulsen__nzl,Alex Paulsen,NZL,GK,31,7,0.1017,0.1017,0.45,0.226,0.226
alex_rufer__nzl,Alex Rufer,NZL,MID,76,14,0.0828,0.0828,0.45,0.184,0.184
alex_sandro__bra,Alex Sandro,BRA,DEF,187,33,0.0792,0.0792,0.45,0.176,0.176
alexander_alex_robertson__aus,Alexander 'Alex' Robertson,AUS,MID,36,0,0.0,0.0,0.45,0.0,0.0
alexander_bernhardsson__swe,Alexander Bernhardsson,SWE,MID,37,8,0.0972,0.0972,0.45,0.216,0.216
alexander_djiku__gha,Alexander Djiku,GHA,DEF,69,36,0.2349,0.2349,0.45,0.522,0.522
alexander_isak__swe,Alexander Isak,SWE,FWD,114,43,0.1696,0.1696,0.45,0.3769,0.3769
alexander_n_bel__ger,Alexander Nübel,GER,GK,20,3,0.0675,0.0675,0.45,0.15,0.15
alexander_prass__aut,Alexander Prass,AUT,DEF,39,9,0.104,0.104,0.45,0.2311,0.2311
alexander_s_rloth__nor,Alexander Sørloth,NOR,FWD,99,47,0.2138,0.2138,0.45,0.4751,0.4751
alexander_schlager__aut,Alexander Schlager,AUT,GK,77,26,0.1521,0.1521,0.45,0.338,0.338
alexandre_pierre__hai,Alexandre Pierre,HAI,GK,38,13,0.1539,0.1539,0.45,0.342,0.342
alexis_duarte__par,Alexis Duarte,PAR,DEF,7,1,0.0643,0.0643,0.45,0.1429,0.1429
alexis_guendouz__alg,Alexis Guendouz,ALG,GK,46,14,0.1368,0.1368,0.45,0.304,0.304
alexis_mac_allister__arg,Alexis Mac Allister,ARG,MID,80,39,0.2196,0.2196,0.45,0.488,0.488
alexis_saelemaekers__bel,Alexis Saelemaekers,BEL,FWD,72,10,0.0626,0.0626,0.45,0.1391,0.1391
alexis_vega__mex,Alexis Vega,MEX,FWD,123,30,0.1098,0.1098,0.45,0.244,0.244
ali_abdi__tun,Ali Abdi,TUN,DEF,83,42,0.2277,0.2277,0.45,0.506,0.506
ali_ahmed__can,Ali Ahmed,CAN,MID,39,20,0.2308,0.2308,0.45,0.5129,0.5129
ali_al_hamadi__irq,Ali Al-Hamadi,IRQ,FWD,63,11,0.0788,0.0788,0.45,0.1751,0.1751
ali_alipour__irn,Ali Alipour,IRN,FWD,95,3,0.0144,0.0144,0.45,0.032,0.032
ali_azaizeh__jor,Ali Azaizeh,JOR,MID,13,0,0.0,0.0,0.45,0.0,0.0
ali_jasim__irq,Ali Jasim,IRQ,MID,39,26,0.3002,0.3002,0.45,0.6671,0.6671
ali_majrashi__ksa,Ali Majrashi,KSA,DEF,70,13,0.0837,0.0837,0.45,0.186,0.186
ali_yousif__irq,Ali Yousif,IRQ,FWD,61,1,0.0072,0.0072,0.45,0.016,0.016
alireza_beiranvand__irn,Alireza Beiranvand,IRN,GK,130,86,0.2979,0.2979,0.45,0.662,0.662
alireza_jahanbakhsh__irn,Alireza Jahanbakhsh,IRN,FWD,143,65,0.2048,0.2048,0.45,0.4551,0.4551
alisher_odilov__uzb,Alisher Odilov,UZB,MID,10,1,0.045,0.045,0.45,0.1,0.1
alisson_becker__bra,Alisson Becker,BRA,GK,129,77,0.2686,0.2686,0.45,0.5969,0.5969
alistair_johnston__can,Alistair Johnston,CAN,DEF,77,51,0.2979,0.2979,0.45,0.662,0.662
almoez_ali__qat,Almoez Ali,QAT,FWD,151,108,0.3218,0.3218,0.45,0.7151,0.7151
alphonso_davies__can,Alphonso Davies,CAN,DEF,100,52,0.234,0.234,0.45,0.52,0.52
altay_bayindir__tur,Altay Bayindir,TUR,GK,68,10,0.0662,0.0662,0.45,0.1471,0.1471
alvaro_fidalgo__mex,Alvaro Fidalgo,MEX,MID,5,4,0.36,0.36,0.45,0.8,0.8
alvaro_montero__col,Alvaro Montero,COL,GK,88,9,0.0459,0.0459,0.45,0.102,0.102
amad_diallo__civ,Amad Diallo,CIV,FWD,69,10,0.0652,0.0652,0.45,0.1449,0.1449
amadou_onana__bel,Amadou Onana,BEL,MID,47,22,0.2106,0.2106,0.45,0.468,0.468
amar_dedi__bih,Amar Dedic,BIH,DEF,40,26,0.2925,0.2925,0.45,0.65,0.65
amar_memi__bih,Amar Memic,BIH,MID,13,8,0.2768,0.2768,0.45,0.6151,0.6151
amer_jamous__jor,Amer Jamous,JOR,MID,21,8,0.1715,0.1715,0.45,0.3811,0.3811
amin_chiakha__alg,Amin Chiakha,ALG,FWD,29,0,0.0,0.0,0.45,0.0,0.0
amine_adli__mar,Amine Adli,MAR,FWD,52,5,0.0432,0.0432,0.45,0.096,0.096
