date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
31/05/26,42,neutral,5750,3807,2:1,7,FS,played,1,0,0,31/05/26 | FS | club:5750 | opponent:3807 | 2:1 | played | 90',False,False,True,90.0,True,anthony_valencia__ecu,Anthony Valencia,ECU,FWD,974374,https://www.transfermarkt.de/anthony-valencia/nationalmannschaft/spieler/974374/verein_id/5750
31/03/26,8,away,5750,3379,1:1,,FS,played,0,0,0,31/03/26 | FS | club:5750 | opponent:3379 | 1:1 | played | 45',False,False,True,45.0,False,anthony_valencia__ecu,Anthony Valencia,ECU,FWD,974374,https://www.transfermarkt.de/anthony-valencia/nationalmannschaft/spieler/974374/verein_id/5750
27/03/26,13,neutral,5750,3575,1:1,,FS,in squad,0,0,0,27/03/26 | FS | club:5750 | opponent:3575 | 1:1 | in squad,False,False,False,,False,anthony_valencia__ecu,Anthony Valencia,ECU,FWD,974374,https://www.transfermarkt.de/anthony-valencia/nationalmannschaft/spieler/974374/verein_id/5750
27/09/22,6,away,5750,3435,0:0,,FS,in squad,0,0,0,27/09/22 | FS | club:5750 | opponent:3435 | 0:0 | in squad,False,False,False,,False,anthony_valencia__ecu,Anthony Valencia,ECU,FWD,974374,https://www.transfermarkt.de/anthony-valencia/nationalmannschaft/spieler/974374/verein_id/5750
23/09/22,16,away,5750,3807,0:0,,FS,in squad,0,0,0,23/09/22 | FS | club:5750 | opponent:3807 | 0:0 | in squad,False,False,False,,False,anthony_valencia__ecu,Anthony Valencia,ECU,FWD,974374,https://www.transfermarkt.de/anthony-valencia/nationalmannschaft/spieler/974374/verein_id/5750
