date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
07/06/26,23,away,3440,3575,1:1,,FS,in squad,0,0,0,07/06/26 | FS | club:3440 | opponent:3575 | 1:1 | in squad,False,False,False,,False,sander_tangvik__nor,Sander Tangvik,NOR,GK,549378,https://www.transfermarkt.de/sander-tangvik/nationalmannschaft/spieler/549378/verein_id/3440
01/06/26,6,home,3440,3557,3:1,,FS,in squad,0,0,0,01/06/26 | FS | club:3440 | opponent:3557 | 3:1 | in squad,False,False,False,,False,sander_tangvik__nor,Sander Tangvik,NOR,GK,549378,https://www.transfermarkt.de/sander-tangvik/nationalmannschaft/spieler/549378/verein_id/3440
16/11/25,10,away,3440,3376,4:1,,WMQ6,in squad,0,0,0,16/11/25 | WMQ6 | club:3440 | opponent:3376 | 4:1 | in squad,False,False,False,,False,sander_tangvik__nor,Sander Tangvik,NOR,GK,549378,https://www.transfermarkt.de/sander-tangvik/nationalmannschaft/spieler/549378/verein_id/3440
13/11/25,9,home,3440,6133,4:1,,WMQ6,in squad,0,0,0,13/11/25 | WMQ6 | club:3440 | opponent:6133 | 4:1 | in squad,False,False,False,,False,sander_tangvik__nor,Sander Tangvik,NOR,GK,549378,https://www.transfermarkt.de/sander-tangvik/nationalmannschaft/spieler/549378/verein_id/3440
