player_id,player_name,team_id,position_model,competition_category,competition_category_label,rows,starts,bench,not_in_squad,injury_or_fitness_absences,suspension_absences,not_selected_or_unknown_absences,unused_in_squad,selection_observations,recency_weight_sum,recency_selection_weight_sum,recency_start_numerator,recent_weighted_starts,recent_weighted_bench,recent_weighted_not_in_squad,start_share,bench_share,not_in_squad_share,recency_weighted_start_share,recency_weighted_bench_share,recency_weighted_not_in_squad_share,competition_weight,weighted_start_signal,recency_competition_weighted_start_signal
abdel_rahman_al_talalga__jor,Abdel Rahman Al-Talalga,JOR,GK,ungdom_slutrunde,Ungdomsslutrunde,7,4,0,0,0,0,0,3,7.0,4.84,1.694,1.19,3.4,0.0,0.0,0.571,0.0,0.0,0.702,0.0,0.0,0.35,0.1998,0.2457
abdel_rahman_al_talalga__jor,Abdel Rahman Al-Talalga,JOR,GK,ungdom_kvalifikation,Ungdomskvalifikation,3,3,0,0,0,0,0,0,3.0,2.04,0.6120000000000001,0.6120000000000001,2.04,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.3,0.3
abdelhamid_ait_boudlal__mar,Abdelhamid Ait Boudlal,MAR,DEF,venskabskamp,Venskabskamp,2,1,0,1,0,0,1,0,2.0,1.84,0.9568000000000001,0.47840000000000005,0.92,0.0,0.92,0.5,0.0,0.5,0.5,0.0,0.5,0.52,0.26,0.26
abdelmouhib_chamakh__tun,Abdelmouhib Chamakh,TUN,GK,venskabskamp,Venskabskamp,4,3,0,0,0,0,0,1,4.0,3.84,1.9968000000000001,1.5184000000000002,2.92,0.0,0.0,0.75,0.0,0.0,0.76,0.0,0.0,0.52,0.39,0.3952
abdoulaye_seck__sen,Abdoulaye Seck,SEN,DEF,slutrunde,Slutrunde,34,3,0,16,7,0,16,6,27.0,14.71,13.31,2.02,2.02,0.0,6.08,0.111,0.0,0.471,0.152,0.0,0.413,1.0,0.111,0.152
abdoulaye_seck__sen,Abdoulaye Seck,SEN,DEF,kvalifikation,Kvalifikation,32,8,0,3,1,0,3,16,31.0,11.4,9.828000000000001,2.6460000000000004,2.94,0.0,0.72,0.258,0.0,0.094,0.269,0.0,0.063,0.9,0.2322,0.2421
abdoulaye_seck__sen,Abdoulaye Seck,SEN,DEF,venskabskamp,Venskabskamp,16,5,0,2,0,0,2,9,16.0,7.86,4.0872,1.872,3.6,0.0,0.4,0.312,0.0,0.125,0.458,0.0,0.051,0.52,0.1622,0.2382
abdukodir_khusanov__uzb,Abdukodir Khusanov,UZB,DEF,slutrunde,Slutrunde,13,5,0,6,0,0,4,1,13.0,5.6000000000000005,5.6000000000000005,1.6,1.6,0.0,3.3600000000000003,0.385,0.0,0.462,0.286,0.0,0.6,1.0,0.385,0.286
abdukodir_khusanov__uzb,Abdukodir Khusanov,UZB,DEF,kvalifikation,Kvalifikation,16,12,0,2,0,0,2,0,16.0,7.24,6.516,4.932,5.4799999999999995,0.0,0.96,0.75,0.0,0.125,0.757,0.0,0.133,0.9,0.675,0.6813
abdukodir_khusanov__uzb,Abdukodir Khusanov,UZB,DEF,venskabskamp,Venskabskamp,12,5,0,4,2,0,4,0,10.0,7.16,3.0160000000000005,1.872,3.6,0.0,1.8800000000000001,0.5,0.0,0.333,0.621,0.0,0.263,0.52,0.26,0.3229
abdulaziz_hatim_mohammed__qat,Abdulaziz Hatim Mohammed,QAT,MID,slutrunde,Slutrunde,74,38,0,22,0,0,22,4,74.0,14.67,14.67,6.12,6.12,0.0,4.62,0.514,0.0,0.297,0.417,0.0,0.315,1.0,0.514,0.417
abdulaziz_hatim_mohammed__qat,Abdulaziz Hatim Mohammed,QAT,MID,kvalifikation,Kvalifikation,66,12,0,30,0,0,30,18,66.0,13.5,12.15,2.718,3.02,0.0,4.640000000000001,0.182,0.0,0.455,0.224,0.0,0.344,0.9,0.1638,0.2016
abdulaziz_hatim_mohammed__qat,Abdulaziz Hatim Mohammed,QAT,MID,venskabskamp,Venskabskamp,93,45,0,35,0,0,35,3,93.0,15.32,7.966400000000001,3.5464,6.82,0.0,5.4,0.484,0.0,0.376,0.445,0.0,0.352,0.52,0.2517,0.2314
abdulelah_al_amri__ksa,Abdulelah Al-Amri,KSA,DEF,slutrunde,Slutrunde,31,9,0,10,4,0,10,5,27.0,13.05,11.13,5.67,5.67,0.0,2.48,0.333,0.0,0.323,0.509,0.0,0.19,1.0,0.333,0.509
abdulelah_al_amri__ksa,Abdulelah Al-Amri,KSA,DEF,kvalifikation,Kvalifikation,32,11,0,14,4,0,14,2,28.0,11.2,8.352,2.3220000000000005,2.58,0.0,5.34,0.393,0.0,0.438,0.278,0.0,0.477,0.9,0.3537,0.2502
abdulelah_al_amri__ksa,Abdulelah Al-Amri,KSA,DEF,venskabskamp,Venskabskamp,24,10,0,3,1,0,3,4,23.0,10.040000000000001,4.7424,2.1424000000000003,4.12,0.0,1.56,0.435,0.0,0.125,0.452,0.0,0.155,0.52,0.2262,0.235
abdulkerim_bardakci__tur,Abdulkerim Bardakci,TUR,DEF,slutrunde,Slutrunde,8,4,0,4,0,0,3,0,8.0,3.0,3.0,1.92,1.92,0.0,1.08,0.5,0.0,0.5,0.64,0.0,0.36,1.0,0.5,0.64
abdulkerim_bardakci__tur,Abdulkerim Bardakci,TUR,DEF,kvalifikation,Kvalifikation,19,12,0,1,1,0,1,5,18.0,8.64,7.164000000000001,6.156000000000001,6.840000000000001,0.0,0.2,0.667,0.0,0.053,0.859,0.0,0.023,0.9,0.6003,0.7731
abdulkerim_bardakci__tur,Abdulkerim Bardakci,TUR,DEF,nations_league,Nations League,8,7,0,1,0,0,0,0,8.0,3.84,2.9952,2.6208,3.36,0.0,0.48,0.875,0.0,0.125,0.875,0.0,0.125,0.78,0.6825,0.6825
abdulkerim_bardakci__tur,Abdulkerim Bardakci,TUR,DEF,venskabskamp,Venskabskamp,12,3,0,7,1,0,6,1,11.0,4.74,2.1112,0.5824,1.12,0.0,2.62,0.273,0.0,0.583,0.276,0.0,0.553,0.52,0.142,0.1435
abdullah_al_hamdan__ksa,Abdullah Al-Hamdan,KSA,FWD,slutrunde,Slutrunde,32,8,0,14,0,0,14,4,32.0,13.15,13.15,2.51,2.51,0.0,5.2,0.25,0.0,0.438,0.191,0.0,0.395,1.0,0.25,0.191
abdullah_al_hamdan__ksa,Abdullah Al-Hamdan,KSA,FWD,kvalifikation,Kvalifikation,36,5,0,15,0,0,15,6,36.0,11.6,10.440000000000001,0.882,0.98,0.0,4.5,0.139,0.0,0.417,0.084,0.0,0.388,0.9,0.1251,0.0756
abdullah_al_hamdan__ksa,Abdullah Al-Hamdan,KSA,FWD,venskabskamp,Venskabskamp,27,10,0,7,0,0,7,1,27.0,10.34,5.3768,1.8616000000000001,3.58,0.0,1.78,0.37,0.0,0.259,0.346,0.0,0.172,0.52,0.1924,0.1799
abdullah_al_khaibari__ksa,Abdullah Al-Khaibari,KSA,MID,slutrunde,Slutrunde,42,7,0,24,4,0,24,7,38.0,14.15,12.23,4.19,4.19,0.0,5.62,0.184,0.0,0.571,0.343,0.0,0.397,1.0,0.184,0.343
abdullah_al_khaibari__ksa,Abdullah Al-Khaibari,KSA,MID,kvalifikation,Kvalifikation,36,5,0,21,2,0,21,4,34.0,11.6,9.576,2.1780000000000004,2.42,0.0,5.5200000000000005,0.147,0.0,0.583,0.227,0.0,0.476,0.9,0.1323,0.2043
abdullah_al_khaibari__ksa,Abdullah Al-Khaibari,KSA,MID,venskabskamp,Venskabskamp,44,12,0,20,0,0,20,3,44.0,12.040000000000001,6.260800000000001,2.8080000000000003,5.4,0.0,3.62,0.273,0.0,0.455,0.449,0.0,0.301,0.52,0.142,0.2335
abdulrahman_al_sanbi__ksa,Abdulrahman Al-Sanbi,KSA,GK,slutrunde,Slutrunde,14,1,0,4,0,0,4,9,14.0,9.57,9.57,0.85,0.85,0.0,1.92,0.071,0.0,0.286,0.089,0.0,0.201,1.0,0.071,0.089
abdulrahman_al_sanbi__ksa,Abdulrahman Al-Sanbi,KSA,GK,kvalifikation,Kvalifikation,7,0,0,2,0,0,2,5,7.0,3.96,3.564,0.0,0.0,0.0,0.96,0.0,0.0,0.286,0.0,0.0,0.242,0.9,0.0,0.0
abdulrahman_al_sanbi__ksa,Abdulrahman Al-Sanbi,KSA,GK,venskabskamp,Venskabskamp,8,2,0,3,0,0,3,3,8.0,6.5600000000000005,3.4112,0.7072,1.36,0.0,2.84,0.25,0.0,0.375,0.207,0.0,0.433,0.52,0.13,0.1076
abduvokhid_nematov__uzb,Abduvokhid Nematov,UZB,GK,slutrunde,Slutrunde,13,2,0,2,0,0,2,9,13.0,5.6000000000000005,5.6000000000000005,1.0,1.0,0.0,1.36,0.154,0.0,0.154,0.179,0.0,0.243,1.0,0.154,0.179
abduvokhid_nematov__uzb,Abduvokhid Nematov,UZB,GK,kvalifikation,Kvalifikation,22,0,0,5,0,0,5,17,22.0,8.44,7.596,0.0,0.0,0.0,1.4,0.0,0.0,0.227,0.0,0.0,0.166,0.9,0.0,0.0
abduvokhid_nematov__uzb,Abduvokhid Nematov,UZB,GK,venskabskamp,Venskabskamp,32,12,0,10,0,0,10,10,32.0,10.46,5.4392000000000005,2.7248,5.24,0.0,2.3600000000000003,0.375,0.0,0.312,0.501,0.0,0.226,0.52,0.195,0.2605
abolfazl_jalali__irn,Abolfazl Jalali,IRN,DEF,slutrunde,Slutrunde,16,0,0,10,0,0,10,3,16.0,6.2,6.2,0.0,0.0,0.0,3.56,0.0,0.0,0.625,0.0,0.0,0.574,1.0,0.0,0.0
abolfazl_jalali__irn,Abolfazl Jalali,IRN,DEF,kvalifikation,Kvalifikation,30,1,0,21,3,0,21,4,27.0,9.94,7.65,0.432,0.48,0.0,5.94,0.037,0.0,0.7,0.056,0.0,0.598,0.9,0.0333,0.0504
abolfazl_jalali__irn,Abolfazl Jalali,IRN,DEF,venskabskamp,Venskabskamp,12,2,0,6,0,0,6,2,12.0,2.7800000000000002,1.4456000000000002,0.20800000000000002,0.4,0.0,1.6800000000000002,0.167,0.0,0.5,0.144,0.0,0.604,0.52,0.0868,0.0749
achraf_hakimi__mar,Achraf Hakimi,MAR,DEF,slutrunde,Slutrunde,63,27,0,27,6,0,27,2,57.0,22.42,17.490000000000002,7.78,7.78,0.0,7.16,0.474,0.0,0.429,0.445,0.0,0.319,1.0,0.474,0.445
achraf_hakimi__mar,Achraf Hakimi,MAR,DEF,kvalifikation,Kvalifikation,46,36,0,7,0,0,6,3,46.0,12.02,10.818000000000001,8.424000000000001,9.36,0.0,1.68,0.783,0.0,0.152,0.779,0.0,0.14,0.9,0.7047,0.7011
achraf_hakimi__mar,Achraf Hakimi,MAR,DEF,venskabskamp,Venskabskamp,50,25,0,13,2,0,13,4,48.0,13.46,6.292000000000001,3.8064000000000004,7.32,0.0,3.1,0.521,0.0,0.26,0.605,0.0,0.23,0.52,0.2709,0.3146
achref_abada__alg,Achref Abada,ALG,DEF,slutrunde,Slutrunde,14,4,0,5,0,0,5,4,14.0,10.88,10.88,3.23,3.23,0.0,4.25,0.286,0.0,0.357,0.297,0.0,0.391,1.0,0.286,0.297
achref_abada__alg,Achref Abada,ALG,DEF,kvalifikation,Kvalifikation,4,0,0,4,0,0,4,0,4.0,2.72,2.4480000000000004,0.0,0.0,0.0,2.72,0.0,0.0,1.0,0.0,0.0,1.0,0.9,0.0,0.0
achref_abada__alg,Achref Abada,ALG,DEF,venskabskamp,Venskabskamp,7,3,0,3,0,0,3,0,7.0,5.5600000000000005,2.8912000000000004,1.352,2.6,0.0,2.04,0.429,0.0,0.429,0.468,0.0,0.367,0.52,0.2231,0.2434
adalberto_carrasquilla__pan,Adalberto Carrasquilla,PAN,MID,slutrunde,Slutrunde,24,10,0,13,0,0,13,0,24.0,7.86,7.86,3.16,3.16,0.0,4.38,0.417,0.0,0.542,0.402,0.0,0.557,1.0,0.417,0.402
adalberto_carrasquilla__pan,Adalberto Carrasquilla,PAN,MID,nations_league_finals,Nations League-slutrunde,10,10,0,0,0,0,0,0,10.0,3.84,3.6479999999999997,3.6479999999999997,3.84,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.95,0.95,0.95
adalberto_carrasquilla__pan,Adalberto Carrasquilla,PAN,MID,kvalifikation,Kvalifikation,30,21,0,6,0,0,6,0,30.0,10.200000000000001,9.180000000000001,6.534000000000001,7.260000000000001,0.0,2.16,0.7,0.0,0.2,0.712,0.0,0.212,0.9,0.63,0.6408
adalberto_carrasquilla__pan,Adalberto Carrasquilla,PAN,MID,nations_league,Nations League,12,9,0,1,0,0,1,0,12.0,2.48,1.9344000000000001,1.6224000000000003,2.08,0.0,0.1,0.75,0.0,0.083,0.839,0.0,0.04,0.78,0.585,0.6544
adalberto_carrasquilla__pan,Adalberto Carrasquilla,PAN,MID,venskabskamp,Venskabskamp,42,9,0,23,3,0,23,0,39.0,13.0,5.2,1.248,2.4,0.0,5.5,0.231,0.0,0.548,0.24,0.0,0.423,0.52,0.1201,0.1248
adam_karabec__cze,Adam Karabec,CZE,MID,kvalifikation,Kvalifikation,5,1,0,0,0,0,0,2,5.0,3.8800000000000003,3.4920000000000004,0.6120000000000001,0.68,0.0,0.0,0.2,0.0,0.0,0.175,0.0,0.0,0.9,0.18,0.1575
adam_karabec__cze,Adam Karabec,CZE,MID,nations_league,Nations League,1,0,0,0,0,0,0,1,1.0,0.1,0.07800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0
adam_karabec__cze,Adam Karabec,CZE,MID,venskabskamp,Venskabskamp,2,1,0,0,0,0,0,0,2.0,1.36,0.7072,0.3536,0.68,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.52,0.26,0.26
adem_arous__tun,Adem Arous,TUN,DEF,slutrunde,Slutrunde,4,0,0,1,0,0,1,3,4.0,3.4,3.4,0.0,0.0,0.0,0.85,0.0,0.0,0.25,0.0,0.0,0.25,1.0,0.0,0.0
adem_arous__tun,Adem Arous,TUN,DEF,venskabskamp,Venskabskamp,5,2,0,0,0,0,0,3,5.0,4.69,2.4388,0.9984000000000001,1.92,0.0,0.0,0.4,0.0,0.0,0.409,0.0,0.0,0.52,0.208,0.2127
adil_aouchiche__alg,Adil Aouchiche,ALG,MID,venskabskamp,Venskabskamp,2,0,0,0,0,0,0,1,2.0,1.84,0.9568000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0
adil_boulbina__alg,Adil Boulbina,ALG,FWD,slutrunde,Slutrunde,14,4,0,5,0,0,5,2,14.0,10.88,10.88,3.23,3.23,0.0,3.4000000000000004,0.286,0.0,0.357,0.297,0.0,0.312,1.0,0.286,0.297
adil_boulbina__alg,Adil Boulbina,ALG,FWD,kvalifikation,Kvalifikation,4,0,0,4,0,0,4,0,4.0,2.72,2.4480000000000004,0.0,0.0,0.0,2.72,0.0,0.0,1.0,0.0,0.0,1.0,0.9,0.0,0.0
adil_boulbina__alg,Adil Boulbina,ALG,FWD,venskabskamp,Venskabskamp,7,1,0,3,0,0,3,1,7.0,5.5600000000000005,2.8912000000000004,0.3536,0.68,0.0,2.04,0.143,0.0,0.429,0.122,0.0,0.367,0.52,0.0744,0.0634
adrien_rabiot__fra,Adrien Rabiot,FRA,MID,slutrunde,Slutrunde,24,13,0,8,1,0,7,0,23.0,5.78,5.58,4.0,4.0,0.0,1.18,0.565,0.0,0.333,0.717,0.0,0.204,1.0,0.565,0.717
adrien_rabiot__fra,Adrien Rabiot,FRA,MID,nations_league_finals,Nations League-slutrunde,6,4,0,0,1,0,0,1,5.0,2.52,2.2039999999999997,1.748,1.84,0.0,0.0,0.8,0.0,0.0,0.793,0.0,0.0,0.95,0.76,0.7533
adrien_rabiot__fra,Adrien Rabiot,FRA,MID,kvalifikation,Kvalifikation,39,13,0,13,2,0,9,6,37.0,9.4,7.236000000000001,3.0240000000000005,3.3600000000000003,0.0,1.84,0.351,0.0,0.333,0.418,0.0,0.196,0.9,0.3159,0.3762
adrien_rabiot__fra,Adrien Rabiot,FRA,MID,nations_league,Nations League,22,8,0,8,2,0,8,2,20.0,5.08,3.6504000000000003,1.0764,1.3800000000000001,0.0,2.32,0.4,0.0,0.364,0.295,0.0,0.457,0.78,0.312,0.2301
adrien_rabiot__fra,Adrien Rabiot,FRA,MID,venskabskamp,Venskabskamp,29,10,0,8,0,0,7,10,29.0,7.38,3.8376,1.6952,3.2600000000000002,0.0,0.9,0.345,0.0,0.276,0.442,0.0,0.122,0.52,0.1794,0.2298
agust_n_lvarez__uru,Agustin Alvarez,URU,FWD,slutrunde,Slutrunde,9,0,0,9,0,0,9,0,9.0,3.48,3.48,0.0,0.0,0.0,3.48,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
agust_n_lvarez__uru,Agustin Alvarez,URU,FWD,kvalifikation,Kvalifikation,30,3,0,13,7,0,13,5,23.0,10.68,7.704000000000001,0.54,0.6000000000000001,0.0,5.52,0.13,0.0,0.433,0.07,0.0,0.517,0.9,0.117,0.063
agust_n_lvarez__uru,Agustin Alvarez,URU,FWD,venskabskamp,Venskabskamp,19,0,0,13,4,0,13,1,15.0,8.200000000000001,3.224,0.0,0.0,0.0,4.6000000000000005,0.0,0.0,0.684,0.0,0.0,0.561,0.52,0.0,0.0
ahmad_assaf__jor,Ahmad Assaf,JOR,DEF,slutrunde,Slutrunde,6,0,0,6,0,0,6,0,6.0,4.93,4.93,0.0,0.0,0.0,4.93,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
ahmad_assaf__jor,Ahmad Assaf,JOR,DEF,kvalifikation,Kvalifikation,4,2,0,0,0,0,0,2,4.0,2.12,1.9080000000000001,1.044,1.1600000000000001,0.0,0.0,0.5,0.0,0.0,0.547,0.0,0.0,0.9,0.45,0.4923
ahmad_assaf__jor,Ahmad Assaf,JOR,DEF,venskabskamp,Venskabskamp,8,2,0,6,0,0,6,0,8.0,5.92,3.0784000000000002,0.9568000000000001,1.84,0.0,4.08,0.25,0.0,0.75,0.311,0.0,0.689,0.52,0.13,0.1617
ahmed_basil_fadhil__irq,Ahmed Basil Fadhil,IRQ,GK,slutrunde,Slutrunde,19,5,0,3,0,0,3,11,19.0,7.55,7.55,2.9,2.9,0.0,1.44,0.263,0.0,0.158,0.384,0.0,0.191,1.0,0.263,0.384
ahmed_basil_fadhil__irq,Ahmed Basil Fadhil,IRQ,GK,kvalifikation,Kvalifikation,30,5,0,6,0,0,6,19,30.0,12.68,11.412,2.556,2.84,0.0,2.88,0.167,0.0,0.2,0.224,0.0,0.227,0.9,0.1503,0.2016
ahmed_basil_fadhil__irq,Ahmed Basil Fadhil,IRQ,GK,venskabskamp,Venskabskamp,14,4,0,3,0,0,3,7,14.0,5.78,3.0056000000000003,1.2064000000000001,2.3200000000000003,0.0,1.2,0.286,0.0,0.214,0.401,0.0,0.208,0.52,0.1487,0.2085
ahmed_fathi__qat,Ahmed Fathi,QAT,MID,slutrunde,Slutrunde,37,27,0,4,0,0,4,5,37.0,3.7,3.7,2.7,2.7,0.0,0.4,0.73,0.0,0.108,0.73,0.0,0.108,1.0,0.73,0.73
ahmed_fathi__qat,Ahmed Fathi,QAT,MID,kvalifikation,Kvalifikation,85,42,0,22,9,0,22,9,76.0,9.1,7.380000000000001,3.8700000000000006,4.3,0.0,2.4000000000000004,0.553,0.0,0.259,0.524,0.0,0.264,0.9,0.4977,0.4716
ahmed_fathi__qat,Ahmed Fathi,QAT,MID,venskabskamp,Venskabskamp,106,50,0,44,1,0,44,2,105.0,10.700000000000001,5.5120000000000005,2.6,5.0,0.0,4.5,0.476,0.0,0.415,0.472,0.0,0.421,0.52,0.2475,0.2454
ahmed_fatouh__egy,Ahmed Fatouh,EGY,DEF,slutrunde,Slutrunde,31,17,0,10,0,0,9,3,31.0,12.61,12.61,6.24,6.24,0.0,4.03,0.548,0.0,0.323,0.495,0.0,0.32,1.0,0.548,0.495
ahmed_fatouh__egy,Ahmed Fatouh,EGY,DEF,kvalifikation,Kvalifikation,37,8,0,21,0,0,17,6,37.0,11.9,10.71,1.4580000000000002,1.62,0.0,8.52,0.216,0.0,0.568,0.136,0.0,0.716,0.9,0.1944,0.1224
ahmed_fatouh__egy,Ahmed Fatouh,EGY,DEF,venskabskamp,Venskabskamp,23,9,0,9,0,0,9,3,23.0,9.69,5.0388,2.8236000000000003,5.43,0.0,1.86,0.391,0.0,0.391,0.56,0.0,0.192,0.52,0.2033,0.2912
ahmed_hasan_maknzi__irq,Ahmed Hasan Maknzi,IRQ,DEF,slutrunde,Slutrunde,7,5,0,0,0,0,0,2,7.0,4.67,4.67,3.51,3.51,0.0,0.0,0.714,0.0,0.0,0.752,0.0,0.0,1.0,0.714,0.752
ahmed_hasan_maknzi__irq,Ahmed Hasan Maknzi,IRQ,DEF,kvalifikation,Kvalifikation,11,0,0,9,0,0,9,2,11.0,6.720000000000001,6.048000000000001,0.0,0.0,0.0,5.76,0.0,0.0,0.818,0.0,0.0,0.857,0.9,0.0,0.0
ahmed_hasan_maknzi__irq,Ahmed Hasan Maknzi,IRQ,DEF,venskabskamp,Venskabskamp,3,0,0,2,0,0,2,0,3.0,2.3600000000000003,1.2272,0.0,0.0,0.0,1.36,0.0,0.0,0.667,0.0,0.0,0.576,0.52,0.0,0.0
