date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
06/06/26,10,home,3382,3670,5:0,3,FS,played,0,0,0,06/06/26 | FS | club:3382 | opponent:3670 | 5:0 | played | 90',False,False,True,90,True,nathan_ngoy__bel,Nathan Ngoy,BEL,DEF,548254,https://www.transfermarkt.de/nathan-ngoy/nationalmannschaft/spieler/548254/verein_id/3382
02/06/26,9,away,3382,3556,2:0,3,FS,played,0,0,0,02/06/26 | FS | club:3382 | opponent:3556 | 2:0 | played | 68',False,False,True,68,True,nathan_ngoy__bel,Nathan Ngoy,BEL,DEF,548254,https://www.transfermarkt.de/nathan-ngoy/nationalmannschaft/spieler/548254/verein_id/3382
01/04/26,8,away,3382,6303,1:1,3,FS,played,0,0,0,01/04/26 | FS | club:3382 | opponent:6303 | 1:1 | played | 72',False,False,True,72,True,nathan_ngoy__bel,Nathan Ngoy,BEL,DEF,548254,https://www.transfermarkt.de/nathan-ngoy/nationalmannschaft/spieler/548254/verein_id/3382
28/03/26,7,away,3382,3505,5:2,,FS,played,0,0,0,28/03/26 | FS | club:3382 | opponent:3505 | 5:2 | played | 28',False,False,True,28,False,nathan_ngoy__bel,Nathan Ngoy,BEL,DEF,548254,https://www.transfermarkt.de/nathan-ngoy/nationalmannschaft/spieler/548254/verein_id/3382
