date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
31/05/26,46,away,3499,3505,2:3,,FS,played,0,0,0,31/05/26 | FS | club:3499 | opponent:3505 | 2:3 | played | 45',False,False,True,45.0,False,moustapha_mbow__sen,Moustapha Mbow,SEN,DEF,649026,https://www.transfermarkt.de/moustapha-mbow/nationalmannschaft/spieler/649026/verein_id/3499
14/10/25,10,home,3499,14238,4:0,,WMQ2,in squad,0,0,0,14/10/25 | WMQ2 | club:3499 | opponent:14238 | 4:0 | in squad,False,False,False,,False,moustapha_mbow__sen,Moustapha Mbow,SEN,DEF,649026,https://www.transfermarkt.de/moustapha-mbow/nationalmannschaft/spieler/649026/verein_id/3499
10/10/25,9,away,3499,33192,5:0,,WMQ2,not in squad,0,0,0,10/10/25 | WMQ2 | club:3499 | opponent:33192 | 5:0 | not in squad,True,False,False,,False,moustapha_mbow__sen,Moustapha Mbow,SEN,DEF,649026,https://www.transfermarkt.de/moustapha-mbow/nationalmannschaft/spieler/649026/verein_id/3499
09/09/25,8,away,3499,3854,3:2,,WMQ2,in squad,0,0,0,09/09/25 | WMQ2 | club:3499 | opponent:3854 | 3:2 | in squad,False,False,False,,False,moustapha_mbow__sen,Moustapha Mbow,SEN,DEF,649026,https://www.transfermarkt.de/moustapha-mbow/nationalmannschaft/spieler/649026/verein_id/3499
05/09/25,7,home,3499,13313,2:0,,WMQ2,in squad,0,0,0,05/09/25 | WMQ2 | club:3499 | opponent:13313 | 2:0 | in squad,False,False,False,,False,moustapha_mbow__sen,Moustapha Mbow,SEN,DEF,649026,https://www.transfermarkt.de/moustapha-mbow/nationalmannschaft/spieler/649026/verein_id/3499
