date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
06/06/26,46,away,14162,13951,0:0,,FS,played,0,0,0,06/06/26 | FS | club:14162 | opponent:13951 | 0:0 | played | 11',False,False,True,11,False,mohamed_al_mannai__qat,Mohamed Al-Mannai,QAT,MID,822935,https://www.transfermarkt.de/mohamed-al-mannai/nationalmannschaft/spieler/822935/verein_id/14162
28/05/26,5,away,14162,3509,0:1,,FS,played,0,0,0,28/05/26 | FS | club:14162 | opponent:3509 | 0:1 | played | 28',False,False,True,28,False,mohamed_al_mannai__qat,Mohamed Al-Mannai,QAT,MID,822935,https://www.transfermarkt.de/mohamed-al-mannai/nationalmannschaft/spieler/822935/verein_id/14162
07/12/25,3,home,14162,3670,0:3,10,ARCP,played,0,0,0,07/12/25 | ARCP | club:14162 | opponent:3670 | 0:3 | played | 90',False,False,True,90,True,mohamed_al_mannai__qat,Mohamed Al-Mannai,QAT,MID,822935,https://www.transfermarkt.de/mohamed-al-mannai/nationalmannschaft/spieler/822935/verein_id/14162
04/12/25,2,home,14162,13674,1:1,7,ARCP,played,0,0,0,04/12/25 | ARCP | club:14162 | opponent:13674 | 1:1 | played | 90',False,False,True,90,True,mohamed_al_mannai__qat,Mohamed Al-Mannai,QAT,MID,822935,https://www.transfermarkt.de/mohamed-al-mannai/nationalmannschaft/spieler/822935/verein_id/14162
01/12/25,1,home,14162,17758,0:1,10,ARCP,played,0,0,0,01/12/25 | ARCP | club:14162 | opponent:17758 | 0:1 | played | 45',False,False,True,45,True,mohamed_al_mannai__qat,Mohamed Al-Mannai,QAT,MID,822935,https://www.transfermarkt.de/mohamed-al-mannai/nationalmannschaft/spieler/822935/verein_id/14162
17/11/25,10,home,14162,3583,1:2,,FS,played,0,0,0,17/11/25 | FS | club:14162 | opponent:3583 | 1:2 | played | 28',False,False,True,28,False,mohamed_al_mannai__qat,Mohamed Al-Mannai,QAT,MID,822935,https://www.transfermarkt.de/mohamed-al-mannai/nationalmannschaft/spieler/822935/verein_id/14162
14/10/25,3,home,14162,5147,2:1,14,WMQ1,played,0,0,1,14/10/25 | WMQ1 | club:14162 | opponent:5147 | 2:1 | played | 90',False,False,True,90,True,mohamed_al_mannai__qat,Mohamed Al-Mannai,QAT,MID,822935,https://www.transfermarkt.de/mohamed-al-mannai/nationalmannschaft/spieler/822935/verein_id/14162
08/10/25,1,home,14162,14165,0:0,7,WMQ1,played,0,0,1,08/10/25 | WMQ1 | club:14162 | opponent:14165 | 0:0 | played | 45',False,False,True,45,True,mohamed_al_mannai__qat,Mohamed Al-Mannai,QAT,MID,822935,https://www.transfermarkt.de/mohamed-al-mannai/nationalmannschaft/spieler/822935/verein_id/14162
07/09/25,2,home,14162,3448,1:4,14,FS,played,0,1,0,07/09/25 | FS | club:14162 | opponent:3448 | 1:4 | played | 45',False,False,True,45,False,mohamed_al_mannai__qat,Mohamed Al-Mannai,QAT,MID,822935,https://www.transfermarkt.de/mohamed-al-mannai/nationalmannschaft/spieler/822935/verein_id/14162
03/09/25,1,home,14162,7214,2:2,,FS,played,0,0,0,03/09/25 | FS | club:14162 | opponent:7214 | 2:2 | played | 16',False,False,True,16,False,mohamed_al_mannai__qat,Mohamed Al-Mannai,QAT,MID,822935,https://www.transfermarkt.de/mohamed-al-mannai/nationalmannschaft/spieler/822935/verein_id/14162
10/06/25,18,away,14162,3563,0:3,6,WMQ1,played,0,0,0,10/06/25 | WMQ1 | club:14162 | opponent:3563 | 0:3 | played | 45',False,False,True,45,False,mohamed_al_mannai__qat,Mohamed Al-Mannai,QAT,MID,822935,https://www.transfermarkt.de/mohamed-al-mannai/nationalmannschaft/spieler/822935/verein_id/14162
