date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
01/04/26,8,away,3382,6303,1:1,,FS,in squad,0,0,0,01/04/26 | FS | club:3382 | opponent:6303 | 1:1 | in squad,False,False,False,,False,maarten_vandevoordt__bel,Maarten Vandevoordt,BEL,GK,486046,https://www.transfermarkt.de/maarten-vandevoordt/nationalmannschaft/spieler/486046/verein_id/3382
28/03/26,7,away,3382,3505,5:2,,FS,in squad,0,0,0,28/03/26 | FS | club:3382 | opponent:3505 | 5:2 | in squad,False,False,False,,False,maarten_vandevoordt__bel,Maarten Vandevoordt,BEL,GK,486046,https://www.transfermarkt.de/maarten-vandevoordt/nationalmannschaft/spieler/486046/verein_id/3382
15/11/25,9,away,3382,9110,1:1,,WMQ6,in squad,0,0,0,15/11/25 | WMQ6 | club:3382 | opponent:9110 | 1:1 | in squad,False,False,False,,False,maarten_vandevoordt__bel,Maarten Vandevoordt,BEL,GK,486046,https://www.transfermarkt.de/maarten-vandevoordt/nationalmannschaft/spieler/486046/verein_id/3382
13/10/25,8,away,3382,3864,4:2,,WMQ6,not in squad,0,0,0,13/10/25 | WMQ6 | club:3382 | opponent:3864 | 4:2 | not in squad,True,False,False,,False,maarten_vandevoordt__bel,Maarten Vandevoordt,BEL,GK,486046,https://www.transfermarkt.de/maarten-vandevoordt/nationalmannschaft/spieler/486046/verein_id/3382
10/10/25,7,home,3382,5148,0:0,,WMQ6,in squad,0,0,0,10/10/25 | WMQ6 | club:3382 | opponent:5148 | 0:0 | in squad,False,False,False,,False,maarten_vandevoordt__bel,Maarten Vandevoordt,BEL,GK,486046,https://www.transfermarkt.de/maarten-vandevoordt/nationalmannschaft/spieler/486046/verein_id/3382
07/09/25,6,home,3382,9110,6:0,,WMQ6,in squad,0,0,0,07/09/25 | WMQ6 | club:3382 | opponent:9110 | 6:0 | in squad,False,False,False,,False,maarten_vandevoordt__bel,Maarten Vandevoordt,BEL,GK,486046,https://www.transfermarkt.de/maarten-vandevoordt/nationalmannschaft/spieler/486046/verein_id/3382
04/09/25,5,away,3382,5673,6:0,,WMQ6,in squad,0,0,0,04/09/25 | WMQ6 | club:3382 | opponent:5673 | 6:0 | in squad,False,False,False,,False,maarten_vandevoordt__bel,Maarten Vandevoordt,BEL,GK,486046,https://www.transfermarkt.de/maarten-vandevoordt/nationalmannschaft/spieler/486046/verein_id/3382
09/06/25,4,home,3382,3864,4:3,,WMQ6,in squad,0,0,0,09/06/25 | WMQ6 | club:3382 | opponent:3864 | 4:3 | in squad,False,False,False,,False,maarten_vandevoordt__bel,Maarten Vandevoordt,BEL,GK,486046,https://www.transfermarkt.de/maarten-vandevoordt/nationalmannschaft/spieler/486046/verein_id/3382
06/06/25,3,away,3382,5148,1:1,,WMQ6,in squad,0,0,0,06/06/25 | WMQ6 | club:3382 | opponent:5148 | 1:1 | in squad,False,False,False,,False,maarten_vandevoordt__bel,Maarten Vandevoordt,BEL,GK,486046,https://www.transfermarkt.de/maarten-vandevoordt/nationalmannschaft/spieler/486046/verein_id/3382
23/03/25,2,home,3382,3699,3:0,,UNPO,in squad,0,0,0,23/03/25 | UNPO | club:3382 | opponent:3699 | 3:0 | in squad,False,False,False,,False,maarten_vandevoordt__bel,Maarten Vandevoordt,BEL,GK,486046,https://www.transfermarkt.de/maarten-vandevoordt/nationalmannschaft/spieler/486046/verein_id/3382
20/03/25,1,neutral,3382,3699,1:3,,UNPO,not in squad,0,0,0,20/03/25 | UNPO | club:3382 | opponent:3699 | 1:3 | not in squad,True,False,False,,False,maarten_vandevoordt__bel,Maarten Vandevoordt,BEL,GK,486046,https://www.transfermarkt.de/maarten-vandevoordt/nationalmannschaft/spieler/486046/verein_id/3382
17/11/24,6,away,3382,5547,0:1,,UNLA,in squad,0,0,0,17/11/24 | UNLA | club:3382 | opponent:5547 | 0:1 | in squad,False,False,False,,False,maarten_vandevoordt__bel,Maarten Vandevoordt,BEL,GK,486046,https://www.transfermarkt.de/maarten-vandevoordt/nationalmannschaft/spieler/486046/verein_id/3382
14/11/24,5,home,3382,3376,0:1,,UNLA,in squad,0,0,0,14/11/24 | UNLA | club:3382 | opponent:3376 | 0:1 | in squad,False,False,False,,False,maarten_vandevoordt__bel,Maarten Vandevoordt,BEL,GK,486046,https://www.transfermarkt.de/maarten-vandevoordt/nationalmannschaft/spieler/486046/verein_id/3382
14/10/24,4,home,3382,3377,1:2,,UNLA,in squad,0,0,0,14/10/24 | UNLA | club:3382 | opponent:3377 | 1:2 | in squad,False,False,False,,False,maarten_vandevoordt__bel,Maarten Vandevoordt,BEL,GK,486046,https://www.transfermarkt.de/maarten-vandevoordt/nationalmannschaft/spieler/486046/verein_id/3382
10/10/24,3,away,3382,3376,2:2,,UNLA,in squad,0,0,0,10/10/24 | UNLA | club:3382 | opponent:3376 | 2:2 | in squad,False,False,False,,False,maarten_vandevoordt__bel,Maarten Vandevoordt,BEL,GK,486046,https://www.transfermarkt.de/maarten-vandevoordt/nationalmannschaft/spieler/486046/verein_id/3382
