date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
19/11/25,6,away,3581,6303,2:1,3,FS,played,0,0,0,19/11/25 | FS | club:3581 | opponent:6303 | 2:1 | played | 90',False,False,True,90.0,True,alexis_duarte__par,Alexis Duarte,PAR,DEF,491587,https://www.transfermarkt.de/alexis-duarte/nationalmannschaft/spieler/491587/verein_id/3581
15/11/25,5,away,3581,3505,1:2,,FS,in squad,0,0,0,15/11/25 | FS | club:3581 | opponent:3505 | 1:2 | in squad,False,False,False,,False,alexis_duarte__par,Alexis Duarte,PAR,DEF,491587,https://www.transfermarkt.de/alexis-duarte/nationalmannschaft/spieler/491587/verein_id/3581
14/10/25,3,away,3581,3589,0:2,,FS,in squad,0,0,0,14/10/25 | FS | club:3581 | opponent:3589 | 0:2 | in squad,False,False,False,,False,alexis_duarte__par,Alexis Duarte,PAR,DEF,491587,https://www.transfermarkt.de/alexis-duarte/nationalmannschaft/spieler/491587/verein_id/3581
10/10/25,5,away,3581,3435,2:2,,FS,in squad,0,0,0,10/10/25 | FS | club:3581 | opponent:3435 | 2:2 | in squad,False,False,False,,False,alexis_duarte__par,Alexis Duarte,PAR,DEF,491587,https://www.transfermarkt.de/alexis-duarte/nationalmannschaft/spieler/491587/verein_id/3581
09/09/25,18,away,3581,3584,1:0,,WMQ4,in squad,0,0,0,09/09/25 | WMQ4 | club:3581 | opponent:3584 | 1:0 | in squad,False,False,False,,False,alexis_duarte__par,Alexis Duarte,PAR,DEF,491587,https://www.transfermarkt.de/alexis-duarte/nationalmannschaft/spieler/491587/verein_id/3581
04/09/25,17,home,3581,5750,0:0,,WMQ4,in squad,0,0,0,04/09/25 | WMQ4 | club:3581 | opponent:5750 | 0:0 | in squad,False,False,False,,False,alexis_duarte__par,Alexis Duarte,PAR,DEF,491587,https://www.transfermarkt.de/alexis-duarte/nationalmannschaft/spieler/491587/verein_id/3581
02/09/21,9,away,3581,5750,0:2,,WMQ4,in squad,0,0,0,02/09/21 | WMQ4 | club:3581 | opponent:5750 | 0:2 | in squad,False,False,False,,False,alexis_duarte__par,Alexis Duarte,PAR,DEF,491587,https://www.transfermarkt.de/alexis-duarte/nationalmannschaft/spieler/491587/verein_id/3581
