date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
05/06/26,6,home,3581,15351,4:0,,FS,played,0,1,0,05/06/26 | FS | club:3581 | opponent:15351 | 4:0 | played | 65',False,False,True,65,True,mauricio_magalhaes_prado__par,Mauricio Magalhaes Prado,PAR,MID,678439,https://www.transfermarkt.de/mauricio/nationalmannschaft/spieler/678439/verein_id/3581
31/03/26,14,neutral,3581,3575,1:2,,FS,played,0,0,0,31/03/26 | FS | club:3581 | opponent:3575 | 1:2 | played | 34',False,False,True,34,False,mauricio_magalhaes_prado__par,Mauricio Magalhaes Prado,PAR,MID,678439,https://www.transfermarkt.de/mauricio/nationalmannschaft/spieler/678439/verein_id/3581
27/03/26,48,away,3581,3378,1:0,,FS,played,0,0,0,27/03/26 | FS | club:3581 | opponent:3378 | 1:0 | played | 29',False,False,True,29,False,mauricio_magalhaes_prado__par,Mauricio Magalhaes Prado,PAR,MID,678439,https://www.transfermarkt.de/mauricio/nationalmannschaft/spieler/678439/verein_id/3581
