date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
01/06/26,46,home,3383,3670,1:0,,FS,played,0,0,0,01/06/26 | FS | club:3383 | opponent:3670 | 1:0 | played | 28',False,False,True,28,False,paul_wanner__aut,Paul Wanner,AUT,MID,900909,https://www.transfermarkt.de/paul-wanner/nationalmannschaft/spieler/900909/verein_id/3383
31/03/26,46,home,3383,3589,1:0,6,FS,played,0,0,0,31/03/26 | FS | club:3383 | opponent:3589 | 1:0 | played | 61',False,False,True,61,True,paul_wanner__aut,Paul Wanner,AUT,MID,900909,https://www.transfermarkt.de/paul-wanner/nationalmannschaft/spieler/900909/verein_id/3383
27/03/26,46,home,3383,3441,5:1,10,FS,played,0,0,0,27/03/26 | FS | club:3383 | opponent:3441 | 5:1 | played | 45',False,False,True,45,False,paul_wanner__aut,Paul Wanner,AUT,MID,900909,https://www.transfermarkt.de/paul-wanner/nationalmannschaft/spieler/900909/verein_id/3383
