date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
04/06/26,6,home,3377,3591,1:2,,FS,played,0,0,0,04/06/26 | FS | club:3377 | opponent:3591 | 1:2 | played | 45',False,False,True,45,False,maxence_lacroix__fra,Maxence Lacroix,FRA,DEF,434224,https://www.transfermarkt.de/maxence-lacroix/nationalmannschaft/spieler/434224/verein_id/3377
29/03/26,7,away,3377,3816,3:1,3,FS,played,0,0,0,29/03/26 | FS | club:3377 | opponent:3816 | 3:1 | played | 90',False,False,True,90,True,maxence_lacroix__fra,Maxence Lacroix,FRA,DEF,434224,https://www.transfermarkt.de/maxence-lacroix/nationalmannschaft/spieler/434224/verein_id/3377
26/03/26,7,away,3377,3439,2:1,3,FS,played,0,0,0,26/03/26 | FS | club:3377 | opponent:3439 | 2:1 | played | 32',False,False,True,32,False,maxence_lacroix__fra,Maxence Lacroix,FRA,DEF,434224,https://www.transfermarkt.de/maxence-lacroix/nationalmannschaft/spieler/434224/verein_id/3377
