date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
31/03/26,42,away,3614,3449,0:0,,FS,in squad,0,0,0,31/03/26 | FS | club:3614 | opponent:3449 | 0:0 | in squad,False,False,False,,False,sohaib_nair__alg,Sohaib Nair,ALG,DEF,966312,https://www.transfermarkt.de/sohaib-nair/nationalmannschaft/spieler/966312/verein_id/3614
27/03/26,41,away,3614,13342,7:0,,FS,in squad,0,0,0,27/03/26 | FS | club:3614 | opponent:13342 | 7:0 | in squad,False,False,False,,False,sohaib_nair__alg,Sohaib Nair,ALG,DEF,966312,https://www.transfermarkt.de/sohaib-nair/nationalmannschaft/spieler/966312/verein_id/3614
25/03/25,6,home,3614,5129,5:1,,WMQ2,in squad,0,0,0,25/03/25 | WMQ2 | club:3614 | opponent:5129 | 5:1 | in squad,False,False,False,,False,sohaib_nair__alg,Sohaib Nair,ALG,DEF,966312,https://www.transfermarkt.de/sohaib-nair/nationalmannschaft/spieler/966312/verein_id/3614
21/03/25,5,away,3614,15229,3:1,,WMQ2,in squad,0,0,0,21/03/25 | WMQ2 | club:3614 | opponent:15229 | 3:1 | in squad,False,False,False,,False,sohaib_nair__alg,Sohaib Nair,ALG,DEF,966312,https://www.transfermarkt.de/sohaib-nair/nationalmannschaft/spieler/966312/verein_id/3614
