date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
06/06/26,6,away,3672,3439,1:2,12,FS,played,0,0,0,06/06/26 | FS | club:3672 | opponent:3439 | 1:2 | played | 45',False,False,True,45,True,haissem_hassan__egy,Haissem Hassan,EGY,MID,620164,https://www.transfermarkt.de/haissem-hassan/nationalmannschaft/spieler/620164/verein_id/3672
28/05/26,10,home,3672,3448,1:0,10,FS,played,0,0,0,28/05/26 | FS | club:3672 | opponent:3448 | 1:0 | played | 52',False,False,True,52,False,haissem_hassan__egy,Haissem Hassan,EGY,MID,620164,https://www.transfermarkt.de/haissem-hassan/nationalmannschaft/spieler/620164/verein_id/3672
31/03/26,13,away,3672,3375,0:0,12,FS,played,0,0,0,31/03/26 | FS | club:3672 | opponent:3375 | 0:0 | played | 22',False,False,True,22,False,haissem_hassan__egy,Haissem Hassan,EGY,MID,620164,https://www.transfermarkt.de/haissem-hassan/nationalmannschaft/spieler/620164/verein_id/3672
27/03/26,42,away,3672,3807,4:0,,FS,played,0,0,0,27/03/26 | FS | club:3672 | opponent:3807 | 4:0 | played | 45',False,False,True,45,False,haissem_hassan__egy,Haissem Hassan,EGY,MID,620164,https://www.transfermarkt.de/haissem-hassan/nationalmannschaft/spieler/620164/verein_id/3672
