player_id,player_name,team_id,position_model,tm_competition_rows,tm_competition_starts,tm_weighted_start_signal_sum,tm_recency_competition_weighted_start_signal_sum,tm_competition_weight_sum,tm_weighted_competitive_start_score,tm_recency_weighted_competitive_start_score
unai_sim_n__esp,Unai Simon,ESP,GK,102,81,3.5709,3.5709,3.9,0.9156,0.9156
utkir_yusupov__uzb,Utkir Yusupov,UZB,GK,108,65,1.912,1.912,2.4,0.7967,0.7967
valentino_livramento__eng,Valentino Livramento,ENG,DEF,25,13,2.3966,2.3966,3.05,0.7858,0.7858
victor_lindel_f__swe,Victor Lindelöf,SWE,DEF,167,116,3.4311,3.4311,3.9,0.8798,0.8798
victor_munoz__esp,Victor Munoz,ESP,FWD,3,3,0.8,0.8,0.8,1.0,1.0
viktor_gyokeres__swe,Viktor Gyökeres,SWE,FWD,110,66,3.0260000000000002,3.0260000000000002,3.9,0.7759,0.7759
viktor_johansson__swe,Viktor Johansson,SWE,GK,43,21,2.8622,2.8622,3.9,0.7339,0.7339
vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,86,59,1.8283,1.8283,2.4,0.7618,0.7618
virgil_van_dijk__ned,Virgil van Dijk,NED,DEF,172,147,3.6819,3.6819,3.9,0.9441,0.9441
vitinha__por,Vitinha,POR,MID,63,49,3.5098,3.5098,3.9,0.8999,0.8999
vladimir_coufal__cze,Vladimir Coufal,CZE,DEF,134,104,3.4617,3.4617,3.9,0.8876,0.8876
vladimir_coufal__holdet_584,Vladimir Coufal,HOLDET_584,DEF,134,104,3.4617,3.4617,3.9,0.8876,0.8876
vladimir_darida__holdet_584,Vladimir Darida,CZE,MID,217,146,3.3783,3.3783,3.9,0.8662,0.8662
vozinha__cpv,Vozinha,CPV,GK,157,128,2.1125,2.1125,2.4,0.8802,0.8802
wagner_pina__cpv,Wagner Pina,CPV,DEF,29,17,1.8324,1.8324,2.4,0.7635,0.7635
waldemar_anton__ger,Waldemar Anton,GER,DEF,33,17,2.1228,2.1228,3.05,0.696,0.696
walter_benitez__arg,Walter Benitez,ARG,GK,41,7,0.9193,0.9193,2.4,0.383,0.383
warren_za_re_emery__fra,Warren Zaire-Emery,FRA,MID,37,17,2.641,2.641,3.9,0.6772,0.6772
wataru_endo__jpn,Wataru Endo,JPN,MID,181,106,1.8646,1.8646,2.4,0.7769,0.7769
wesley_franca__bra,Wesley Franca,BRA,DEF,14,7,1.7997999999999998,1.7997999999999998,2.4,0.7499,0.7499
weston_mckennie__usa,Weston McKennie,USA,MID,157,97,2.336,2.336,3.05,0.7659,0.7659
weverton__bra,Weverton,BRA,GK,126,30,1.0467,1.0467,2.4,0.4361,0.4361
wilfried_stephane_singo__civ,Wilfried Stephane Singo,CIV,DEF,86,53,1.7654,1.7654,2.4,0.7356,0.7356
wilfried_stephane_singo__holdet_767,Wilfried Stephane Singo,HOLDET_767,DEF,86,53,1.7654,1.7654,2.4,0.7356,0.7356
wilguens_paugain__hai,Wilguens Paugain,HAI,DEF,19,6,1.4998,1.4998,2.4,0.6249,0.6249
willer_ditta__col,Willer Ditta,COL,DEF,39,8,0.9773,0.9773,2.4,0.4072,0.4072
william_saliba__fra,William Saliba,FRA,DEF,67,43,3.1391999999999998,3.1391999999999998,3.9,0.8049,0.8049
willian_pacho__ecu,Willian Pacho,ECU,DEF,51,42,2.1828,2.1828,2.4,0.9095,0.9095
willy_semedo__cpv,Willy Semedo,CPV,FWD,83,48,1.7212,1.7212,2.4,0.7172,0.7172
wilson_isidor__hai,Wilson Isidor,HAI,FWD,3,2,0.575,0.575,0.8,0.7187,0.7187
woodensky_pierre__hai,Woodensky Pierre,HAI,MID,3,1,0.35,0.35,0.8,0.4375,0.4375
wout_weghorst__ned,Wout Weghorst,NED,FWD,123,78,3.3392,3.3392,3.9,0.8562,0.8562
xaver_schlager__aut,Xaver Schlager,AUT,MID,118,92,3.5606999999999998,3.5606999999999998,3.9,0.913,0.913
yahia_fofana__civ,Yahia Fofana,CIV,GK,52,46,2.2092,2.2092,2.4,0.9205,0.9205
yahia_fofana__holdet_767,Yahia Fofana,HOLDET_767,GK,52,46,2.2092,2.2092,2.4,0.9205,0.9205
yaimar_medina__ecu,Yaimar Medina,ECU,MID,20,4,1.475,1.475,2.4,0.6146,0.6146
yan_diomande__civ,Yan Diomande,CIV,FWD,15,13,2.2199999999999998,2.2199999999999998,2.4,0.925,0.925
yan_diomande__holdet_767,Yan Diomande,HOLDET_767,FWD,15,13,2.2199999999999998,2.2199999999999998,2.4,0.925,0.925
yan_valery__tun,Yan Valery,TUN,DEF,71,36,1.6985999999999999,1.6985999999999999,2.4,0.7078,0.7078
yannick_semedo__cpv,Yannick Semedo,CPV,MID,54,23,1.4516,1.4516,2.4,0.6048,0.6048
yasin_ayari__swe,Yasin Ayari,SWE,MID,46,40,3.7094,3.7094,3.9,0.9511,0.9511
yasser_ibrahim__egy,Yasser Ibrahim,EGY,DEF,101,42,1.4164,1.4164,2.4,0.5902,0.5902
yassin_fortune__hai,Yassin Fortune,HAI,FWD,10,4,1.6752,1.6752,2.4,0.698,0.698
yassine_bono_bounou__mar,Yassine 'Bono' Bounou,MAR,GK,278,162,1.6222,1.6222,2.4,0.6759,0.6759
yassine_titraoui__alg,Yassine Titraoui,ALG,MID,102,29,1.0979999999999999,1.0979999999999999,2.4,0.4575,0.4575
yazan_al_arab__jor,Yazan Al-Arab,JOR,DEF,139,92,2.6416,2.6416,3.25,0.8128,0.8128
yazeed_abulaila__jor,Yazeed Abulaila,JOR,GK,160,96,2.7372,2.7372,3.25,0.8422,0.8422
yehvann_diouf__sen,Yehvann Diouf,SEN,GK,32,9,0.9139999999999999,0.9139999999999999,2.4,0.3808,0.3808
yeremy_pino__esp,Yeremy Pino,ESP,MID,84,38,2.8114,2.8114,3.9,0.7209,0.7209
yerry_mina__col,Yerry Mina,COL,DEF,141,77,1.6635,1.6635,2.4,0.6931,0.6931
yerson_mosquera__col,Yerson Mosquera,COL,DEF,44,17,1.1923,1.1923,2.4,0.4968,0.4968
yoane_wissa__cod,Yoane Wissa,COD,FWD,105,61,1.7238,1.7238,2.4,0.7183,0.7183
yoel_barcenas__pan,Yoel Barcenas,PAN,MID,233,137,2.387,2.387,3.9,0.6121,0.6121
youcef_atal__alg,Youcef Atal,ALG,DEF,167,102,1.6343999999999999,1.6343999999999999,2.4,0.681,0.681
youri_tielemans__bel,Youri Tielemans,BEL,MID,175,123,3.3564,3.3564,3.9,0.8606,0.8606
