date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
06/06/26,6,away,3672,3439,1:2,,FS,played,0,0,0,06/06/26 | FS | club:3672 | opponent:3439 | 1:2 | played | 5',False,False,True,5,False,hamza_abdelkarim__egy,Hamza Abdelkarim,EGY,FWD,1259085,https://www.transfermarkt.de/hamza-abdelkarim/nationalmannschaft/spieler/1259085/verein_id/3672
28/05/26,10,home,3672,3448,1:0,14,FS,played,0,0,0,28/05/26 | FS | club:3672 | opponent:3448 | 1:0 | played | 4',False,False,True,4,False,hamza_abdelkarim__egy,Hamza Abdelkarim,EGY,FWD,1259085,https://www.transfermarkt.de/hamza-abdelkarim/nationalmannschaft/spieler/1259085/verein_id/3672
