date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
06/06/26,19,away,14161,3584,1:2,14,FS,played,1,0,0,06/06/26 | FS | club:14161 | opponent:3584 | 1:2 | played | 60',False,False,True,60,True,wilson_isidor__hai,Wilson Isidor,HAI,FWD,494237,https://www.transfermarkt.de/wilson-isidor/nationalmannschaft/spieler/494237/verein_id/14161
03/06/26,18,away,14161,9171,4:0,14,FS,played,0,1,0,03/06/26 | FS | club:14161 | opponent:9171 | 4:0 | played | 45',False,False,True,45,True,wilson_isidor__hai,Wilson Isidor,HAI,FWD,494237,https://www.transfermarkt.de/wilson-isidor/nationalmannschaft/spieler/494237/verein_id/14161
31/03/26,3,away,14161,3574,1:1,12,FS,played,1,0,0,31/03/26 | FS | club:14161 | opponent:3574 | 1:1 | played | 90',False,False,True,90,True,wilson_isidor__hai,Wilson Isidor,HAI,FWD,494237,https://www.transfermarkt.de/wilson-isidor/nationalmannschaft/spieler/494237/verein_id/14161
29/03/26,7,away,14161,3670,0:1,,FS,played,0,0,0,29/03/26 | FS | club:14161 | opponent:3670 | 0:1 | played | 45',False,False,True,45,False,wilson_isidor__hai,Wilson Isidor,HAI,FWD,494237,https://www.transfermarkt.de/wilson-isidor/nationalmannschaft/spieler/494237/verein_id/14161
