date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
07/06/26,23,away,3575,3440,1:1,7,FS,played,0,0,0,07/06/26 | FS | club:3575 | opponent:3440 | 1:1 | played | 45',False,False,True,45,True,ayyoub_bouaddi__mar,Ayyoub Bouaddi,MAR,MID,1097139,https://www.transfermarkt.de/ayyoub-bouaddi/nationalmannschaft/spieler/1097139/verein_id/3575
02/06/26,22,home,3575,14635,4:0,6,FS,played,0,0,0,02/06/26 | FS | club:3575 | opponent:14635 | 4:0 | played | 45',False,False,True,45,True,ayyoub_bouaddi__mar,Ayyoub Bouaddi,MAR,MID,1097139,https://www.transfermarkt.de/ayyoub-bouaddi/nationalmannschaft/spieler/1097139/verein_id/3575
26/05/26,21,home,3575,13943,5:0,7,FS,played,0,0,0,26/05/26 | FS | club:3575 | opponent:13943 | 5:0 | played | 90',False,False,True,90,True,ayyoub_bouaddi__mar,Ayyoub Bouaddi,MAR,MID,1097139,https://www.transfermarkt.de/ayyoub-bouaddi/nationalmannschaft/spieler/1097139/verein_id/3575
