date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
29/05/26,12,home,3446,5148,0:0,,FS,played,0,0,0,29/05/26 | FS | club:3446 | opponent:5148 | 0:0 | played | 45',False,False,True,45.0,False,nidal_celik__bih,Nidal Celik,BIH,DEF,819566,https://www.transfermarkt.de/nidal-celik/nationalmannschaft/spieler/819566/verein_id/3446
31/03/26,2,home,3446,3376,4:1,,POWM,in squad,0,0,0,31/03/26 | POWM | club:3446 | opponent:3376 | 4:1 | in squad,False,False,False,,False,nidal_celik__bih,Nidal Celik,BIH,DEF,819566,https://www.transfermarkt.de/nidal-celik/nationalmannschaft/spieler/819566/verein_id/3446
26/03/26,1,away,3446,3864,4:2,,POWM,in squad,0,0,0,26/03/26 | POWM | club:3446 | opponent:3864 | 4:2 | in squad,False,False,False,,False,nidal_celik__bih,Nidal Celik,BIH,DEF,819566,https://www.transfermarkt.de/nidal-celik/nationalmannschaft/spieler/819566/verein_id/3446
19/11/24,6,home,3446,3379,1:1,,UNLA,in squad,0,0,0,19/11/24 | UNLA | club:3446 | opponent:3379 | 1:1 | in squad,False,False,False,,False,nidal_celik__bih,Nidal Celik,BIH,DEF,819566,https://www.transfermarkt.de/nidal-celik/nationalmannschaft/spieler/819566/verein_id/3446
16/11/24,5,away,3446,3262,0:7,,UNLA,in squad,0,0,0,16/11/24 | UNLA | club:3446 | opponent:3262 | 0:7 | in squad,False,False,False,,False,nidal_celik__bih,Nidal Celik,BIH,DEF,819566,https://www.transfermarkt.de/nidal-celik/nationalmannschaft/spieler/819566/verein_id/3446
