date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
04/06/26,13,away,3560,3375,1:1,,FS,played,0,0,0,04/06/26 | FS | club:3560 | opponent:3375 | 1:1 | played | 29',False,False,True,29,False,ahmed_qasem__irq,Ahmed Qasem,IRQ,MID,833817,https://www.transfermarkt.de/ahmed-qasem/nationalmannschaft/spieler/833817/verein_id/3560
29/05/26,9,away,3560,10533,1:0,,FS,played,0,0,0,29/05/26 | FS | club:3560 | opponent:10533 | 1:0 | played | 65',False,False,True,65,True,ahmed_qasem__irq,Ahmed Qasem,IRQ,MID,833817,https://www.transfermarkt.de/ahmed-qasem/nationalmannschaft/spieler/833817/verein_id/3560
