date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
01/06/26,46,home,3383,3670,1:0,,FS,played,0,0,0,01/06/26 | FS | club:3383 | opponent:3670 | 1:0 | played | 45',False,False,True,45,False,carney_chukwuemeka__aut,Carney Chukwuemeka,AUT,MID,659459,https://www.transfermarkt.de/carney-chukwuemeka/nationalmannschaft/spieler/659459/verein_id/3383
31/03/26,46,home,3383,3589,1:0,,FS,played,0,0,0,31/03/26 | FS | club:3383 | opponent:3589 | 1:0 | played | 12',False,False,True,12,False,carney_chukwuemeka__aut,Carney Chukwuemeka,AUT,MID,659459,https://www.transfermarkt.de/carney-chukwuemeka/nationalmannschaft/spieler/659459/verein_id/3383
27/03/26,46,home,3383,3441,5:1,7,FS,played,1,0,0,27/03/26 | FS | club:3383 | opponent:3441 | 5:1 | played | 29',False,False,True,29,False,carney_chukwuemeka__aut,Carney Chukwuemeka,AUT,MID,659459,https://www.transfermarkt.de/carney-chukwuemeka/nationalmannschaft/spieler/659459/verein_id/3383
