date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
31/05/26,2,home,3439,3577,6:2,3,FS,played,0,0,0,31/05/26 | FS | club:3439 | opponent:3577 | 6:2 | played | 90',False,False,True,90,True,leo_pereira__bra,Leo Pereira,BRA,DEF,288431,https://www.transfermarkt.de/leo-pereira/nationalmannschaft/spieler/288431/verein_id/3439
01/04/26,16,away,3439,3556,3:1,3,FS,played,0,0,0,01/04/26 | FS | club:3439 | opponent:3556 | 3:1 | played | 90',False,False,True,90,True,leo_pereira__bra,Leo Pereira,BRA,DEF,288431,https://www.transfermarkt.de/leo-pereira/nationalmannschaft/spieler/288431/verein_id/3439
26/03/26,7,away,3439,3377,1:2,3,FS,played,0,0,1,26/03/26 | FS | club:3439 | opponent:3377 | 1:2 | played | 90',False,False,True,90,True,leo_pereira__bra,Leo Pereira,BRA,DEF,288431,https://www.transfermarkt.de/leo-pereira/nationalmannschaft/spieler/288431/verein_id/3439
